anomesdia,geracao_gas_fossil,geracao_carvao_duro,carga_total_real,preco_dia_seguinte,preco_real,temperatura,velocidade_vento
2014-12-31,4844.0,4821.0,25385.0,50.1,65.41,272.4914625,2.0
2015-01-01,4187.791666666667,4099.458333333333,23966.958333333332,45.031666666666666,62.09083333333333,277.00120651041664,1.9333333333333333
2015-01-02,3566.1666666666665,1258.125,27188.541666666668,17.598333333333336,69.44375,277.95121718750005,1.575
2015-01-03,3451.7916666666665,1375.9583333333333,25097.75,25.342083333333335,65.22333333333333,278.82972656249996,1.5583333333333333
2015-01-04,3526.125,2315.2916666666665,27104.916666666668,30.658333333333335,58.912083333333335,279.64335416666665,1.25
2015-01-05,4545.705882352941,2691.9411764705883,22484.0,39.207499999999996,74.59833333333333,279.0467518229167,1.1833333333333333
2015-01-06,4511.925619834711,6705.677685950413,28028.07438016529,55.95107438016529,68.55694214876033,278.36212758264463,1.0495867768595042
2015-01-07,5364.208333333333,7894.375,31949.583333333332,59.0275,79.04625,278.609253125,1.3916666666666666
2015-01-08,4495.458333333333,6899.25,26341.541666666668,53.947916666666664,78.55916666666667,279.04890651041666,1.7333333333333334
2015-01-09,5731.625,7500.791666666667,30403.25,57.80875,76.35249999999999,280.1111375,1.725
2015-01-10,5401.625,7108.375,27889.125,57.236250000000005,68.21208333333333,281.64734609375006,2.3583333333333334
2015-01-11,3991.4166666666665,2334.75,23063.458333333332,32.940000000000005,59.53125,281.85088125000004,2.408333333333333
2015-01-12,8972.75,7211.083333333333,31377.916666666668,64.5225,71.37291666666667,280.85084114583333,1.7916666666666667
2015-01-13,6125.791666666667,6689.875,32135.75,56.95666666666667,69.84125,282.8174247395834,2.8333333333333335
2015-01-14,6153.708333333333,6966.333333333333,32106.166666666668,61.12083333333333,74.31291666666667,282.547825,2.2333333333333334
2015-01-15,4161.791666666667,5860.583333333333,32077.708333333332,47.53333333333333,60.201249999999995,283.7542244791667,4.016666666666667
2015-01-16,4675.833333333333,5546.041666666667,32127.625,52.6625,66.00583333333333,281.9674833333333,3.75
2015-01-17,4647.375,5494.791666666667,29127.5,46.59583333333333,59.28875,278.7491619791666,2.158333333333333
2015-01-18,4734.333333333333,5077.833333333333,27875.666666666668,42.88666666666666,57.35875,279.8729453125,3.2333333333333334
2015-01-19,5455.181818181818,7001.363636363636,33119.333333333336,52.519999999999996,66.82125,279.15212083333336,3.841666666666667
2015-01-20,7488.416666666667,7776.833333333333,34053.166666666664,61.13,74.93541666666667,277.5461127604167,1.75
2015-01-21,5527.958333333333,7401.375,34173.791666666664,51.279583333333335,66.01291666666667,278.2782494791667,3.683333333333333
2015-01-22,5270.375,7159.666666666667,33918.291666666664,50.830416666666665,64.07541666666667,279.56694921875,4.008333333333334
2015-01-23,5146.958333333333,7240.0,33468.833333333336,53.630833333333335,66.96083333333334,279.28345,2.216666666666667
2015-01-24,3971.625,5725.083333333333,29893.75,46.76583333333333,58.01625,278.47314427083336,2.8333333333333335
2015-01-25,3725.6666666666665,3911.4583333333335,27469.625,40.7375,53.44541666666667,280.10399244791665,3.2666666666666666
2015-01-26,5364.5,6557.041666666667,32615.166666666668,58.056666666666665,70.80583333333334,278.6328833333334,1.375
2015-01-27,4777.347826086957,7036.04347826087,32951.5,55.18666666666666,67.69833333333334,280.4157390625,2.075
2015-01-28,5222.434782608696,6848.739130434783,32581.82608695652,57.55458333333333,70.35166666666667,280.24357291666666,1.6416666666666666
2015-01-29,3768.6666666666665,4516.625,32611.25,43.30041666666667,56.1325,282.57209609374996,4.891666666666667
2015-01-30,3524.5833333333335,1664.9583333333333,32180.666666666668,32.939166666666665,46.49666666666667,285.67416015624997,9.608333333333333
2015-01-31,2834.0833333333335,1338.9166666666667,28708.666666666668,18.942083333333336,31.079166666666666,282.38571744791665,6.608333333333333
2015-02-01,5543.458333333333,5430.125,26561.23076923077,54.119166666666665,32.81916666666667,279.5388005208333,4.366666666666666
2015-02-02,4631.333333333333,4221.625,32792.041666666664,47.32958333333333,61.59083333333333,279.73417994791663,4.316666666666666
2015-02-03,4862.041666666667,2940.4583333333335,29392.541666666668,43.20791666666666,56.57041666666667,280.46547109375,4.558333333333334
2015-02-04,3665.5416666666665,1890.2083333333333,23733.875,38.525416666666665,53.552083333333336,277.42027083333335,5.108333333333333
2015-02-05,4765.083333333333,2850.7916666666665,23796.5,40.47958333333334,57.11666666666667,277.4408,4.616666666666666
2015-02-06,4474.541666666667,7237.208333333333,29367.291666666668,56.513333333333335,61.505833333333335,276.32116796875,2.7666666666666666
2015-02-07,6920.333333333333,7632.958333333333,31374.833333333332,63.66625,66.16791666666667,276.1817755208333,1.4333333333333333
2015-02-08,3934.9583333333335,5034.041666666667,24858.666666666668,45.74166666666667,52.95666666666667,277.32971796875,2.6333333333333333
2015-02-09,5392.041666666667,7443.125,30047.583333333332,58.49791666666667,66.16708333333334,278.92033333333336,3.441666666666667
2015-02-10,5165.666666666667,6728.916666666667,27820.291666666668,56.235,73.31916666666666,279.73939088541664,3.025
2015-02-11,4959.875,4838.583333333333,26701.333333333332,46.48375,77.17708333333333,280.41801640625,2.0833333333333335
2015-02-12,9524.208333333334,7482.916666666667,31317.25,65.99666666666667,77.94791666666667,281.37537994791666,1.2
2015-02-13,4855.833333333333,6853.666666666667,32264.625,50.732083333333335,63.72416666666666,283.29260390625,3.2333333333333334
2015-02-14,3410.0833333333335,2378.5,28892.916666666668,38.44416666666667,50.654583333333335,283.83913802083333,5.091666666666667
